"ID","LAT","LON","STNELEV","NAME","GRELEV","POPCLS","POPSIZ","TOPO","STVEG","STLOC","OCNDIS","AIRSTN","TOWNDIS","GRVEG","POPCSS"
30187852001,-46.8,-69.5,-999,"PATAGONES, ARGENTINA          ",291,"R",-9,"HI","DE","no",-9,"x",-9,"COOL DESERT     ","A"
30187860000,-45.78,-67.5,46,"COMODORO RIVA                 ",108,"U",97,"HI","xx","CO",3,"A",8,"WATER           ","C"
30187860001,-45.6,-69.1,268,"SARMIENTO ARGENTINA           ",284,"R",-9,"HI","xx","LA",-9,"A",-9,"COOL DESERT     ","A"
30187880000,-48.78,-70.17,357,"GOBERNADOR GR                 ",408,"R",-9,"HI","DE","no",-9,"A",-9,"COOL DESERT     ","A"
30187896000,-47.73,-65.92,80,"PUERTO DESEAD                 ",16,"R",-9,"FL","DE","CO",4,"A",-9,"COOL DESERT     ","B"
30187903000,-50.33,-72.3,220,"LAGO ARGENTIN                 ",224,"R",-9,"MV","xx","LA",-9,"A",-9,"WARM MIXED      ","B"
30187909000,-49.32,-67.75,62,"SAN JULIAN AE                 ",49,"R",-9,"HI","xx","CO",1,"A",-9,"COOL DESERT     ","A"
30187912000,-50.02,-68.57,111,"SANTA CRUZ AE                 ",72,"R",-9,"HI","xx","CO",10,"A",-9,"COOL DESERT     ","A"
30187925000,-51.62,-69.28,19,"RIO GALLEGOS                  ",23,"S",43,"FL","xx","CO",10,"A",5,"COOL DESERT     ","C"
30187934000,-53.8,-67.75,22,"RIO GRANDE B.                 ",32,"S",13,"FL","xx","CO",3,"A",2,"WATER           ","B"
30187936001,-54.7,-64.2,53,"ANO NUEVO                     ",0,"R",-9,"HI","xx","CO",1,"x",-9,"WATER           ","A"
30187938000,-54.8,-68.32,14,"USHUAIA AERO                  ",623,"S",11,"MV","xx","CO",1,"A",1,"COOL FIELD/WOODS","C"
30188963000,-63.4,-56.98,-999,"BASE ESPERANZ                 ",45,"R",-9,"HI","IC","CO",1,"x",-9,"WATER           ","A"
30285041000,-11.03,-68.78,235,"COBIJA                        ",275,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. SEASONAL  ","A"
30285043000,-11,-66.12,141,"RIBERALTA                     ",158,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. SEASONAL  ","A"
30285104000,-13.07,-64.82,140,"SAN JOAQUIN                   ",200,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. SAVANNA   ","A"
30285114000,-13.33,-64.12,140,"MAGDALENA                     ",210,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. SAVANNA   ","A"
30285140000,-14.32,-67.38,140,"REYES                         ",210,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. MONTANE   ","A"
30285141000,-14.47,-67.57,204,"RURRENABAQUE                  ",719,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. MONTANE   ","A"
30285151000,-14.73,-68.5,1415,"APOLO                         ",2061,"R",-9,"MV","xx","no",-9,"A",-9,"TROP. MONTANE   ","A"
30285152000,-14.87,-66.87,194,"SAN BORJA                     ",240,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. MONTANE   ","A"
30285154000,-14.82,-64.92,155,"TRINIDAD                      ",210,"S",20,"HI","xx","no",-9,"A",2,"TROP. SAVANNA   ","C"
30285196000,-16.15,-62.02,497,"CONCEPCION                    ",404,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. SAVANNA   ","A"
30285201000,-16.52,-68.18,4038,"LA PAZ/ALTO                   ",4040,"U",635,"MV","xx","no",-9,"A",1,"WARM GRASS/SHRUB","C"
30285207000,-16.38,-60.97,413,"SAN IGNACIO D                 ",422,"R",-9,"HI","MA","no",-9,"A",-9,"TROP. SAVANNA   ","C"
30285223000,-17.42,-66.18,2548,"COCHABAMBA                    ",2744,"U",204,"MV","xx","no",-9,"A",1,"WARM GRASS/SHRUB","C"
30285230000,-17.58,-69.6,4054,"CHARANA                       ",4098,"R",-9,"MV","xx","no",-9,"A",-9,"WARM GRASS/SHRUB","A"
30285242000,-18.05,-67.07,3702,"ORURO                         ",3658,"U",124,"HI","xx","LA",-9,"x",-9,"TUNDRA          ","C"
30285245000,-17.8,-63.18,418,"SANTA CRUZ/EL                 ",516,"U",255,"FL","xx","no",-9,"x",-9,"TROP. SAVANNA   ","C"
30285247000,-17.8,-60.73,284,"SAN JOSE DE                   ",400,"R",-9,"HI","MA","no",-9,"A",-9,"SUCCULENT THORNS","A"
30285268000,-18.32,-59.77,276,"ROBORE                        ",508,"R",-9,"HI","xx","no",-9,"A",-9,"TROP. SAVANNA   ","B"
30285283000,-19.02,-65.27,2903,"SUCRE                         ",2718,"U",64,"MV","xx","no",-9,"x",-9,"WARM GRASS/SHRUB","C"
30285289000,-18.98,-57.82,134,"PUERTO SUAREZ                 ",201,"R",-9,"FL","MA","no",-9,"A",-9,"TROP. SAVANNA   ","B"
30285315000,-20,-63.53,798,"CAMIRI                        ",1015,"R",-9,"MV","xx","no",-9,"A",-9,"SUCCULENT THORNS","C"
30285364000,-21.55,-64.7,1854,"TARIJA                        ",2126,"S",39,"MV","xx","no",-9,"x",-9,"WARM GRASS/SHRUB","C"
30285365000,-21.95,-63.65,645,"YACUIBA                       ",714,"R",-9,"MV","xx","no",-9,"x",-9,"SUCCULENT THORNS","A"
30382024000,2.82,-60.65,90,"BOA VISTA                     ",150,"S",43,"FL","xx","no",-9,"A",1,"WARM GRASS/SHRUB","C"
30382106000,-0.13,-67.08,90,"SAO GABRIEL D                 ",65,"R",-9,"HI","FO","no",-9,"A",-9,"EQ. EVERGREEN   ","B"
30382191000,-1.45,-48.47,10,"BELEM                         ",19,"U",758,"FL","xx","CO",1,"x",-9,"WARM FIELD WOODS","C"
30382198000,-1.72,-45.4,44,"TURIACU                       ",9,"R",-9,"FL","MA","CO",1,"x",-9,"WARM CROPS      ","A"
30382244001,-2.4,-54.3,22,"SANTAREM/TAPERINHA            ",13,"U",102,"FL","xx","no",-9,"A",1,"WARM GRASS/SHRUB","A"
30382280000,-2.53,-44.3,51,"SAO LUIZ                      ",40,"U",182,"FL","xx","CO",10,"A",3,"WATER           ","C"
30382331000,-3.13,-60.02,72,"MANAUS                        ",50,"U",613,"FL","xx","no",-9,"x",-9,"TROP. SEASONAL  ","C"
30382397000,-3.77,-38.6,26,"FORTALEZA                     ",0,"U",648,"FL","xx","CO",1,"x",-9,"WARM CROPS      ","C"
30382400000,-3.85,-32.42,56,"FERNANDO DE N                 ",0,"R",-9,"HI","xx","CO",1,"x",-9,"WATER           ","A"
30382410000,-4.38,-70.03,65,"BENJAMIN CONS                 ",90,"R",-9,"FL","FO","no",-9,"x",-9,"EQ. EVERGREEN   ","B"
30382425000,-4.92,-63.08,46,"COARI                         ",30,"R",-9,"FL","FO","LA",-9,"x",-9,"TROP. SEASONAL  ","A"
30382571000,-5.5,-45.27,153,"BARRA DO CORD                 ",113,"R",-9,"HI","xx","no",-9,"x",-9,"TROP. SEASONAL  ","B"
30382578000,-5.08,-42.82,74,"TERESINA                      ",112,"U",339,"FL","xx","no",-9,"A",1,"WARM CROPS      ","C"
30382586000,-5.2,-39.3,212,"QUIXERAMOBIM                  ",207,"R",-9,"HI","xx","no",-9,"x",-9,"TROPICAL DRY FOR","B"
30382599000,-5.92,-35.25,52,"NATAL AEROPOR                 ",12,"U",377,"FL","xx","CO",10,"A",7,"WARM CROPS      ","C"
30382668000,-6.63,-51.98,150,"SAO FELIX DO                  ",199,"R",-9,"HI","FO","no",-9,"A",-9,"TROP. SEASONAL  ","B"
30382678000,-6.77,-43.02,127,"FLORIANO                      ",154,"S",36,"FL","xx","no",-9,"x",-9,"WARM GRASS/SHRUB","C"
30382704000,-7.63,-72.67,170,"CRUZEIRO DO S                 ",180,"R",-9,"FL","FO","no",-9,"x",-9,"EQ. EVERGREEN   ","C"
30382741000,-7.35,-57.52,140,"ALTO TAPAJOS                  ",184,"R",-9,"FL","FO","no",-9,"x",-9,"TROP. SAVANNA   ","A"
30382765000,-7.33,-47.47,193,"CAROLINA                      ",174,"R",-9,"HI","FO","no",-9,"x",-9,"TROP. SEASONAL  ","B"
30382825000,-8.77,-63.92,95,"PORTO VELHO                   ",90,"U",102,"HI","xx","no",-9,"A",2,"TROP. SEASONAL  ","C"
30382861000,-8.25,-49.28,157,"CONCEICAO DO                  ",157,"R",-9,"HI","xx","no",-9,"A",-9,"WARM GRASS/SHRUB","C"
30382900000,-8.05,-34.92,7,"RECIFE                        ",18,"U",1184,"FL","xx","CO",3,"A",1,"WATER           ","C"
30382915000,-9.97,-67.8,160,"RIO BRANCO                    ",150,"U",87,"HI","xx","no",-9,"A",1,"TROP. SEASONAL  ","C"
30382915001,-9.1,-68.7,135,"SENA MADUREIRA                ",150,"R",-9,"HI","xx","no",-9,"A",-9,"WARM FIELD WOODS","A"
30382979000,-9.63,-42.1,401,"REMANSO                       ",398,"R",-9,"HI","xx","LA",-9,"x",-9,"WARM GRASS/SHRUB","B"
30382983000,-9.38,-40.48,370,"PETROLINA                     ",372,"U",73,"HI","xx","no",-9,"A",1,"TROPICAL DRY FOR","C"
30383064000,-10.52,-48.72,239,"PORTO NACIONA                 ",246,"S",19,"HI","xx","no",-9,"A",1,"WARM GRASS/SHRUB","A"
30383096000,-10.92,-37.05,5,"ARACAJU                       ",29,"U",288,"FL","xx","CO",2,"x",-9,"WARM FOR./FIELD ","C"
30383229000,-13.02,-38.52,51,"SALVADOR                      ",3,"U",1496,"HI","xx","CO",2,"x",-9,"WATER           ","C"
