gridID,poly
1917,"POLYGON ((85 50, 90 50, 90 45, 85 45, 85 50))"
1918,"POLYGON ((85 45, 90 45, 90 40, 85 40, 85 45))"
1919,"POLYGON ((85 40, 90 40, 90 35, 85 35, 85 40))"
1920,"POLYGON ((85 35, 90 35, 90 30, 85 30, 85 35))"
1921,"POLYGON ((85 30, 90 30, 90 25, 85 25, 85 30))"
1922,"POLYGON ((85 25, 90 25, 90 20, 85 20, 85 25))"
1923,"POLYGON ((85 20, 90 20, 90 15, 85 15, 85 20))"
1924,"POLYGON ((85 15, 90 15, 90 10, 85 10, 85 15))"
1925,"POLYGON ((85 10, 90 10, 90 5, 85 5, 85 10))"
1926,"POLYGON ((85 5, 90 5, 90 0, 85 0, 85 5))"
1927,"POLYGON ((85 0, 90 0, 90 -5, 85 -5, 85 0))"
1928,"POLYGON ((85 -5, 90 -5, 90 -10, 85 -10, 85 -5))"
1929,"POLYGON ((85 -10, 90 -10, 90 -15, 85 -15, 85 -10))"
1930,"POLYGON ((85 -15, 90 -15, 90 -20, 85 -20, 85 -15))"
1931,"POLYGON ((85 -20, 90 -20, 90 -25, 85 -25, 85 -20))"
1932,"POLYGON ((85 -25, 90 -25, 90 -30, 85 -30, 85 -25))"
1933,"POLYGON ((85 -30, 90 -30, 90 -35, 85 -35, 85 -30))"
1934,"POLYGON ((85 -35, 90 -35, 90 -40, 85 -40, 85 -35))"
1935,"POLYGON ((85 -40, 90 -40, 90 -45, 85 -45, 85 -40))"
1936,"POLYGON ((85 -45, 90 -45, 90 -50, 85 -50, 85 -45))"
1937,"POLYGON ((85 -50, 90 -50, 90 -55, 85 -55, 85 -50))"
1938,"POLYGON ((85 -55, 90 -55, 90 -60, 85 -60, 85 -55))"
1939,"POLYGON ((85 -60, 90 -60, 90 -65, 85 -65, 85 -60))"
1940,"POLYGON ((85 -65, 90 -65, 90 -70, 85 -70, 85 -65))"
1941,"POLYGON ((85 -70, 90 -70, 90 -75, 85 -75, 85 -70))"
1942,"POLYGON ((85 -75, 90 -75, 90 -80, 85 -80, 85 -75))"
1943,"POLYGON ((85 -80, 90 -80, 90 -85, 85 -85, 85 -80))"
1944,"POLYGON ((85 -85, 90 -85, 90 -90, 85 -90, 85 -85))"
1945,"POLYGON ((90 90, 95 90, 95 85, 90 85, 90 90))"
1946,"POLYGON ((90 85, 95 85, 95 80, 90 80, 90 85))"
1947,"POLYGON ((90 80, 95 80, 95 75, 90 75, 90 80))"
1948,"POLYGON ((90 75, 95 75, 95 70, 90 70, 90 75))"
1949,"POLYGON ((90 70, 95 70, 95 65, 90 65, 90 70))"
1950,"POLYGON ((90 65, 95 65, 95 60, 90 60, 90 65))"
1951,"POLYGON ((90 60, 95 60, 95 55, 90 55, 90 60))"
1952,"POLYGON ((90 55, 95 55, 95 50, 90 50, 90 55))"
1953,"POLYGON ((90 50, 95 50, 95 45, 90 45, 90 50))"
1954,"POLYGON ((90 45, 95 45, 95 40, 90 40, 90 45))"
1955,"POLYGON ((90 40, 95 40, 95 35, 90 35, 90 40))"
1956,"POLYGON ((90 35, 95 35, 95 30, 90 30, 90 35))"
1957,"POLYGON ((90 30, 95 30, 95 25, 90 25, 90 30))"
1958,"POLYGON ((90 25, 95 25, 95 20, 90 20, 90 25))"
1959,"POLYGON ((90 20, 95 20, 95 15, 90 15, 90 20))"
1960,"POLYGON ((90 15, 95 15, 95 10, 90 10, 90 15))"
1961,"POLYGON ((90 10, 95 10, 95 5, 90 5, 90 10))"
1962,"POLYGON ((90 5, 95 5, 95 0, 90 0, 90 5))"
1963,"POLYGON ((90 0, 95 0, 95 -5, 90 -5, 90 0))"
1964,"POLYGON ((90 -5, 95 -5, 95 -10, 90 -10, 90 -5))"
1965,"POLYGON ((90 -10, 95 -10, 95 -15, 90 -15, 90 -10))"
1966,"POLYGON ((90 -15, 95 -15, 95 -20, 90 -20, 90 -15))"
1967,"POLYGON ((90 -20, 95 -20, 95 -25, 90 -25, 90 -20))"
1968,"POLYGON ((90 -25, 95 -25, 95 -30, 90 -30, 90 -25))"
1969,"POLYGON ((90 -30, 95 -30, 95 -35, 90 -35, 90 -30))"
1970,"POLYGON ((90 -35, 95 -35, 95 -40, 90 -40, 90 -35))"
1971,"POLYGON ((90 -40, 95 -40, 95 -45, 90 -45, 90 -40))"
1972,"POLYGON ((90 -45, 95 -45, 95 -50, 90 -50, 90 -45))"
1973,"POLYGON ((90 -50, 95 -50, 95 -55, 90 -55, 90 -50))"
1974,"POLYGON ((90 -55, 95 -55, 95 -60, 90 -60, 90 -55))"
1975,"POLYGON ((90 -60, 95 -60, 95 -65, 90 -65, 90 -60))"
1976,"POLYGON ((90 -65, 95 -65, 95 -70, 90 -70, 90 -65))"
1977,"POLYGON ((90 -70, 95 -70, 95 -75, 90 -75, 90 -70))"
1978,"POLYGON ((90 -75, 95 -75, 95 -80, 90 -80, 90 -75))"
1979,"POLYGON ((90 -80, 95 -80, 95 -85, 90 -85, 90 -80))"
1980,"POLYGON ((90 -85, 95 -85, 95 -90, 90 -90, 90 -85))"
1981,"POLYGON ((95 90, 100 90, 100 85, 95 85, 95 90))"
1982,"POLYGON ((95 85, 100 85, 100 80, 95 80, 95 85))"
1983,"POLYGON ((95 80, 100 80, 100 75, 95 75, 95 80))"
1984,"POLYGON ((95 75, 100 75, 100 70, 95 70, 95 75))"
1985,"POLYGON ((95 70, 100 70, 100 65, 95 65, 95 70))"
1986,"POLYGON ((95 65, 100 65, 100 60, 95 60, 95 65))"
1987,"POLYGON ((95 60, 100 60, 100 55, 95 55, 95 60))"
1988,"POLYGON ((95 55, 100 55, 100 50, 95 50, 95 55))"
1989,"POLYGON ((95 50, 100 50, 100 45, 95 45, 95 50))"
1990,"POLYGON ((95 45, 100 45, 100 40, 95 40, 95 45))"
1991,"POLYGON ((95 40, 100 40, 100 35, 95 35, 95 40))"
1992,"POLYGON ((95 35, 100 35, 100 30, 95 30, 95 35))"
1993,"POLYGON ((95 30, 100 30, 100 25, 95 25, 95 30))"
1994,"POLYGON ((95 25, 100 25, 100 20, 95 20, 95 25))"
1995,"POLYGON ((95 20, 100 20, 100 15, 95 15, 95 20))"
1996,"POLYGON ((95 15, 100 15, 100 10, 95 10, 95 15))"
1997,"POLYGON ((95 10, 100 10, 100 5, 95 5, 95 10))"
1998,"POLYGON ((95 5, 100 5, 100 0, 95 0, 95 5))"
1999,"POLYGON ((95 0, 100 0, 100 -5, 95 -5, 95 0))"
2000,"POLYGON ((95 -5, 100 -5, 100 -10, 95 -10, 95 -5))"
2001,"POLYGON ((95 -10, 100 -10, 100 -15, 95 -15, 95 -10))"
2002,"POLYGON ((95 -15, 100 -15, 100 -20, 95 -20, 95 -15))"
2003,"POLYGON ((95 -20, 100 -20, 100 -25, 95 -25, 95 -20))"
2004,"POLYGON ((95 -25, 100 -25, 100 -30, 95 -30, 95 -25))"
2005,"POLYGON ((95 -30, 100 -30, 100 -35, 95 -35, 95 -30))"
2006,"POLYGON ((95 -35, 100 -35, 100 -40, 95 -40, 95 -35))"
2007,"POLYGON ((95 -40, 100 -40, 100 -45, 95 -45, 95 -40))"
2008,"POLYGON ((95 -45, 100 -45, 100 -50, 95 -50, 95 -45))"
2009,"POLYGON ((95 -50, 100 -50, 100 -55, 95 -55, 95 -50))"
2010,"POLYGON ((95 -55, 100 -55, 100 -60, 95 -60, 95 -55))"
2011,"POLYGON ((95 -60, 100 -60, 100 -65, 95 -65, 95 -60))"
2012,"POLYGON ((95 -65, 100 -65, 100 -70, 95 -70, 95 -65))"
2013,"POLYGON ((95 -70, 100 -70, 100 -75, 95 -75, 95 -70))"
2014,"POLYGON ((95 -75, 100 -75, 100 -80, 95 -80, 95 -75))"
2015,"POLYGON ((95 -80, 100 -80, 100 -85, 95 -85, 95 -80))"
2016,"POLYGON ((95 -85, 100 -85, 100 -90, 95 -90, 95 -85))"
2017,"POLYGON ((100 90, 105 90, 105 85, 100 85, 100 90))"
2018,"POLYGON ((100 85, 105 85, 105 80, 100 80, 100 85))"
2019,"POLYGON ((100 80, 105 80, 105 75, 100 75, 100 80))"
2020,"POLYGON ((100 75, 105 75, 105 70, 100 70, 100 75))"
2021,"POLYGON ((100 70, 105 70, 105 65, 100 65, 100 70))"
2022,"POLYGON ((100 65, 105 65, 105 60, 100 60, 100 65))"
2023,"POLYGON ((100 60, 105 60, 105 55, 100 55, 100 60))"
2024,"POLYGON ((100 55, 105 55, 105 50, 100 50, 100 55))"
